"lacode","region","positive","number_samples","round","prevalence","lower","upper"
"E07000121","North West",1,323,"round 1",0.00309597523219814,0.000546724864876172,0.0173257287760151
"E07000122","North West",0,381,"round 1",0,0,0.00705109295461375
"E07000123","North West",0,362,"round 1",0,0,0.00741843249343412
"E07000124","North West",0,405,"round 1",0,0,0.00663602322198995
"E07000125","North West",1,448,"round 1",0.00223214285714286,0.000394136753906922,0.0125339793068466
"E07000126","North West",2,432,"round 1",0.00462962962962963,0.00127053090955919,0.0167210085871919
"E07000127","North West",1,407,"round 1",0.00245700245700246,0.000433853011711383,0.0137844268022631
"E07000128","North West",0,378,"round 1",0,0,0.00710665631382286
"E07000129","East Midlands",0,401,"round 1",0,0,0.00670177434510025
"E07000130","East Midlands",0,398,"round 1",0,0,0.0067519491514231
"E07000131","East Midlands",0,403,"round 1",0,0,0.00666873671742554
"E07000132","East Midlands",1,437,"round 1",0.0022883295194508,0.000404060623766021,0.0128466414229987
"E07000133","East Midlands",0,416,"round 1",0,0,0.00646168529744348
"E07000134","East Midlands",0,414,"round 1",0,0,0.006492698493207
"E07000135","East Midlands",0,370,"round 1",0,0,0.00725919831785019
"E07000136","East Midlands",1,323,"round 1",0.00309597523219814,0.000546724864876172,0.0173257287760151
"E07000137","East Midlands",0,335,"round 1",0,0,0.00801154587639506
"E07000138","East Midlands",0,364,"round 1",0,0,0.00737797260606205
"E07000139","East Midlands",0,428,"round 1",0,0,0.00628165459027524
"E07000140","East Midlands",0,345,"round 1",0,0,0.00778113408034462
"E07000141","East Midlands",0,370,"round 1",0,0,0.00725919831785019
"E07000142","East Midlands",1,381,"round 1",0.0026246719160105,0.000463469389356089,0.01471540151139
"E07000143","East of England",0,345,"round 1",0,0,0.00778113408034462
"E07000144","East of England",0,412,"round 1",0,0,0.00652401082358547
"E07000145","East of England",0,294,"round 1",0,0,0.00911861444379787
"E07000146","East of England",2,376,"round 1",0.00531914893617021,0.00145991652959792,0.0191841143906701
"E07000147","East of England",0,349,"round 1",0,0,0.00769263807310031
"E07000148","East of England",1,398,"round 1",0.00251256281407035,0.000443666806692357,0.0140930582933941
"E07000149","East of England",0,359,"round 1",0,0,0.00747996126423419
"E07000150","East Midlands",1,398,"round 1",0.00251256281407035,0.000443666806692357,0.0140930582933941
"E07000151","East Midlands",0,395,"round 1",0,0,0.00680288092189415
"E07000152","East Midlands",0,406,"round 1",0,0,0.00661978653685496
"E07000153","East Midlands",2,386,"round 1",0.00518134715025907,0.00142206416925221,0.0186924173546351
"E07000154","East Midlands",1,376,"round 1",0.00265957446808511,0.000469634573372381,0.014909041674424
"E07000155","East Midlands",0,410,"round 1",0,0,0.00655562663746082
"E07000156","East Midlands",0,354,"round 1",0,0,0.00758480910584331
"E07000163","Yorkshire and The Humber",0,400,"round 1",0,0,0.00671841621768938
"E07000164","Yorkshire and The Humber",0,359,"round 1",0,0,0.00747996126423419
"E07000165","Yorkshire and The Humber",0,380,"round 1",0,0,0.00706951728390612
"E07000166","Yorkshire and The Humber",0,356,"round 1",0,0,0.00754251921518366
"E07000167","Yorkshire and The Humber",0,356,"round 1",0,0,0.00754251921518366
"E07000168","Yorkshire and The Humber",0,370,"round 1",0,0,0.00725919831785019
"E07000169","Yorkshire and The Humber",0,394,"round 1",0,0,0.00682002936116894
"E07000170","East Midlands",0,419,"round 1",0,0,0.00641571707105131
"E07000171","East Midlands",1,412,"round 1",0.00242718446601942,0.00042858622483337,0.0136187356493737
"E07000172","East Midlands",1,399,"round 1",0.0025062656641604,0.000442554515158149,0.014058085110651
"E07000173","East Midlands",1,399,"round 1",0.0025062656641604,0.000442554515158149,0.014058085110651
"E07000174","East Midlands",0,374,"round 1",0,0,0.0071821174418823
"E07000175","East Midlands",0,393,"round 1",0,0,0.00683726447317075
"E07000176","East Midlands",0,431,"round 1",0,0,0.00623820353447194
"E07000177","South East",1,390,"round 1",0.00256410256410256,0.000452770550233439,0.0143792352984794
"E07000178","South East",0,341,"round 1",0,0,0.00787168989742162
"E07000179","South East",0,403,"round 1",0,0,0.00666873671742554
"E07000180","South East",0,412,"round 1",0,0,0.00652401082358547
"E07000181","South East",2,374,"round 1",0.0053475935828877,0.00146773010811949,0.0192855743205915
"E07000187","South West",0,372,"round 1",0,0,0.00722045216933617
"E07000188","South West",0,360,"round 1",0,0,0.00745933858173256
"E07000189","South West",0,349,"round 1",0,0,0.00769263807310031
"E07000192","West Midlands",2,415,"round 1",0.00481927710843374,0.00132261602392285,0.0173991667785075
"E07000193","West Midlands",1,375,"round 1",0.00266666666666667,0.000470887345273329,0.0149483828657489
"E07000194","West Midlands",2,395,"round 1",0.00506329113924051,0.00138963701716044,0.0182709540454637
"E07000195","West Midlands",1,393,"round 1",0.00254452926208651,0.000449313198842029,0.0142705672240688
"E07000196","West Midlands",0,425,"round 1",0,0,0.0063257151923863
"E07000197","West Midlands",0,377,"round 1",0,0,0.00712537254390256
"E07000198","West Midlands",0,395,"round 1",0,0,0.00680288092189415
"E07000199","West Midlands",1,433,"round 1",0.0023094688221709,0.000407794351434818,0.0129642396044627
"E07000200","East of England",0,372,"round 1",0,0,0.00722045216933617
"E07000202","East of England",2,367,"round 1",0.00544959128065395,0.00149574885359847,0.0196492947605395
"E07000203","East of England",0,378,"round 1",0,0,0.00710665631382286
"E07000207","South East",1,491,"round 1",0.00203665987780041,0.000359610993178279,0.0114450967906349
"E07000208","South East",0,419,"round 1",0,0,0.00641571707105131
"E07000209","South East",1,435,"round 1",0.00229885057471264,0.000405918901877666,0.0129051726171232
"E07000210","South East",0,425,"round 1",0,0,0.0063257151923863
"E07000211","South East",1,437,"round 1",0.0022883295194508,0.000404060623766021,0.0128466414229987
"E07000212","South East",2,416,"round 1",0.00480769230769231,0.00131943426526969,0.017357756031087
"E07000213","South East",0,411,"round 1",0,0,0.0065397805199959
"E07000214","South East",0,412,"round 1",0,0,0.00652401082358547
"E07000215","South East",2,428,"round 1",0.00467289719626168,0.00128241371698336,0.0168757752677153
"E07000216","South East",0,439,"round 1",0,0,0.00612521960430543
"E07000217","South East",0,431,"round 1",0,0,0.00623820353447194
"E07000218","West Midlands",0,417,"round 1",0,0,0.00644628953868303
"E07000219","West Midlands",1,388,"round 1",0.00257731958762887,0.000455105162963198,0.0144526048028859
"E07000220","West Midlands",0,364,"round 1",0,0,0.00737797260606205
"E07000221","West Midlands",0,409,"round 1",0,0,0.00657154973284219
"E07000222","West Midlands",0,442,"round 1",0,0,0.00608389864691374
"E07000223","South East",1,433,"round 1",0.0023094688221709,0.000407794351434818,0.0129642396044627
"E07000224","South East",1,339,"round 1",0.00294985250737463,0.000520911326084111,0.0165174563228798
"E07000225","South East",0,363,"round 1",0,0,0.00739814723217347
"E07000226","South East",0,412,"round 1",0,0,0.00652401082358547
"E07000227","South East",1,407,"round 1",0.00245700245700246,0.000433853011711383,0.0137844268022631
"E07000228","South East",1,454,"round 1",0.00220264317180617,0.000388926479380424,0.0123697669682172
"E07000229","South East",1,408,"round 1",0.00245098039215686,0.000432789324171503,0.0137509668168958
