lacode,round,swab,issued
E09000031,round 3,476,3420
E09000032,round 3,481,2941
E09000033,round 3,440,4545
E06000001,round 3,493,2369
E06000002,round 3,475,3084
E06000003,round 3,481,2264
E06000004,round 3,470,2200
E06000005,round 3,508,2127
E06000047,round 3,517,2093
E06000057,round 3,504,1875
E08000021,round 3,478,2652
E08000022,round 3,465,1801
E08000023,round 3,464,2121
E08000024,round 3,494,2189
E08000037,round 3,464,2156
E06000006,round 3,483,2372
E06000007,round 3,517,2108
E06000008,round 3,448,3246
E06000009,round 3,491,2595
E06000049,round 3,539,1900
E06000050,round 3,545,1888
E07000026,round 3,552,1936
E07000027,round 3,514,2034
E07000028,round 3,566,1945
E07000029,round 3,546,1950
E07000030,round 3,591,1793
E07000031,round 3,562,1781
E07000117,round 3,490,2543
E07000118,round 3,537,1956
E07000119,round 3,593,1853
E07000120,round 3,446,2594
E07000121,round 3,511,2481
E07000122,round 3,472,2640
E07000123,round 3,497,2767
E07000124,round 3,489,1682
E07000125,round 3,469,2051
E07000126,round 3,499,1858
E07000127,round 3,530,2025
E07000128,round 3,532,2088
E08000001,round 3,491,2651
E08000002,round 3,534,2204
E08000003,round 3,513,3865
E08000004,round 3,470,2742
E08000005,round 3,427,2684
E08000006,round 3,453,2700
E08000007,round 3,512,1968
E08000008,round 3,480,2348
E08000009,round 3,518,2090
E08000010,round 3,490,2221
E08000011,round 3,403,2607
E08000012,round 3,450,2993
E08000013,round 3,493,2219
E08000014,round 3,496,2190
E08000015,round 3,479,2106
E06000035,round 3,503,2268
E06000036,round 3,544,1957
E06000037,round 3,559,1838
E06000038,round 3,501,2847
E06000039,round 3,431,3792
E06000040,round 3,547,1966
E06000041,round 3,572,1799
E06000042,round 3,548,2340
E06000043,round 3,516,2325
E06000044,round 3,514,2558
E06000045,round 3,551,3062
E06000046,round 3,557,2347
E07000004,round 3,533,1959
E07000005,round 3,557,1692
E07000006,round 3,499,1939
E07000007,round 3,533,2079
E07000061,round 3,523,2249
E07000062,round 3,562,2336
E07000063,round 3,587,1901
E07000064,round 3,597,1914
E07000065,round 3,617,1859
