region,age_group,react_week_number,react_week_start_date,number_positive,number_samples,round
South West,25-34,20,11/05/2020,0,219,Round 1
South West,35-44,20,11/05/2020,0,281,Round 1
South West,45-54,20,11/05/2020,0,383,Round 1
South West,55-64,20,11/05/2020,2,487,Round 1
South West,65+,20,11/05/2020,0,520,Round 1
West Midlands,5-12,20,11/05/2020,1,245,Round 1
West Midlands,13-17,20,11/05/2020,0,162,Round 1
West Midlands,18-24,20,11/05/2020,0,183,Round 1
West Midlands,25-34,20,11/05/2020,2,288,Round 1
West Midlands,35-44,20,11/05/2020,0,326,Round 1
West Midlands,45-54,20,11/05/2020,3,463,Round 1
West Midlands,55-64,20,11/05/2020,2,456,Round 1
West Midlands,65+,20,11/05/2020,0,508,Round 1
Yorkshire and The Humber,5-12,20,11/05/2020,0,126,Round 1
Yorkshire and The Humber,13-17,20,11/05/2020,0,101,Round 1
Yorkshire and The Humber,18-24,20,11/05/2020,1,98,Round 1
Yorkshire and The Humber,25-34,20,11/05/2020,0,173,Round 1
Yorkshire and The Humber,35-44,20,11/05/2020,0,172,Round 1
Yorkshire and The Humber,45-54,20,11/05/2020,0,236,Round 1
Yorkshire and The Humber,55-64,20,11/05/2020,0,262,Round 1
Yorkshire and The Humber,65+,20,11/05/2020,0,290,Round 1
East Midlands,5-12,21,18/05/2020,1,606,Round 1
East Midlands,13-17,21,18/05/2020,0,450,Round 1
East Midlands,18-24,21,18/05/2020,1,450,Round 1
East Midlands,25-34,21,18/05/2020,0,833,Round 1
East Midlands,35-44,21,18/05/2020,1,1016,Round 1
East Midlands,45-54,21,18/05/2020,1,1406,Round 1
East Midlands,55-64,21,18/05/2020,1,1521,Round 1
East Midlands,65+,21,18/05/2020,1,1722,Round 1
East of England,5-12,21,18/05/2020,0,768,Round 1
East of England,13-17,21,18/05/2020,2,513,Round 1
East of England,18-24,21,18/05/2020,1,516,Round 1
East of England,25-34,21,18/05/2020,0,953,Round 1
East of England,35-44,21,18/05/2020,1,1255,Round 1
East of England,45-54,21,18/05/2020,2,1599,Round 1
East of England,55-64,21,18/05/2020,0,1665,Round 1
East of England,65+,21,18/05/2020,1,1938,Round 1
London,5-12,21,18/05/2020,2,429,Round 1
London,13-17,21,18/05/2020,1,327,Round 1
London,18-24,21,18/05/2020,0,332,Round 1
London,25-34,21,18/05/2020,2,964,Round 1
London,35-44,21,18/05/2020,1,1090,Round 1
London,45-54,21,18/05/2020,1,910,Round 1
London,55-64,21,18/05/2020,2,785,Round 1
London,65+,21,18/05/2020,0,761,Round 1
North East,5-12,21,18/05/2020,0,178,Round 1
North East,13-17,21,18/05/2020,1,128,Round 1
North East,18-24,21,18/05/2020,0,151,Round 1
North East,25-34,21,18/05/2020,0,279,Round 1
North East,35-44,21,18/05/2020,0,310,Round 1
North East,45-54,21,18/05/2020,0,375,Round 1
North East,55-64,21,18/05/2020,0,464,Round 1
North East,65+,21,18/05/2020,0,470,Round 1
North West,5-12,21,18/05/2020,1,654,Round 1
North West,13-17,21,18/05/2020,1,469,Round 1
North West,18-24,21,18/05/2020,0,471,Round 1
North West,25-34,21,18/05/2020,1,919,Round 1
North West,35-44,21,18/05/2020,3,1050,Round 1
North West,45-54,21,18/05/2020,0,1493,Round 1
North West,55-64,21,18/05/2020,1,1545,Round 1
North West,65+,21,18/05/2020,1,1845,Round 1
South East,5-12,21,18/05/2020,2,1214,Round 1
South East,13-17,21,18/05/2020,1,898,Round 1
South East,18-24,21,18/05/2020,1,735,Round 1
South East,25-34,21,18/05/2020,1,1496,Round 1
South East,35-44,21,18/05/2020,0,1895,Round 1
South East,45-54,21,18/05/2020,5,2575,Round 1
South East,55-64,21,18/05/2020,2,2668,Round 1
South East,65+,21,18/05/2020,2,3099,Round 1
South West,5-12,21,18/05/2020,0,428,Round 1
South West,13-17,21,18/05/2020,0,317,Round 1
South West,18-24,21,18/05/2020,0,279,Round 1
South West,25-34,21,18/05/2020,1,498,Round 1
South West,35-44,21,18/05/2020,0,695,Round 1
South West,45-54,21,18/05/2020,1,927,Round 1
South West,55-64,21,18/05/2020,1,1067,Round 1
South West,65+,21,18/05/2020,0,1340,Round 1
West Midlands,5-12,21,18/05/2020,0,418,Round 1
West Midlands,13-17,21,18/05/2020,0,319,Round 1
West Midlands,18-24,21,18/05/2020,0,323,Round 1
West Midlands,25-34,21,18/05/2020,2,578,Round 1
West Midlands,35-44,21,18/05/2020,1,725,Round 1
West Midlands,45-54,21,18/05/2020,2,991,Round 1
West Midlands,55-64,21,18/05/2020,1,1052,Round 1
West Midlands,65+,21,18/05/2020,1,1224,Round 1
