date,logit(p),lb_2.5,lb_25,ub_97.5,ub_75
2020-10-14,-4.62873186,-4.792202982,-4.68248278,-4.492155504,-4.578621727
2020-10-15,-4.58322441,-4.726680551,-4.631108311,-4.462261097,-4.538578253
2020-10-16,-4.534896176,-4.658234726,-4.57644535,-4.428902708,-4.495890566
2020-10-17,-4.483490605,-4.587028057,-4.518471662,-4.392508671,-4.450582196
2020-10-18,-4.430063498,-4.514009706,-4.45827113,-4.353186066,-4.402950305
2020-10-19,-4.377761342,-4.445144765,-4.400526052,-4.312490286,-4.355079962
2020-10-20,-4.32975709,-4.389601827,-4.35019591,-4.269397713,-4.309001788
2020-10-21,-4.29000104,-4.350101308,-4.310831523,-4.227070551,-4.268737204
2020-10-22,-4.262198493,-4.324237416,-4.284176208,-4.1950628,-4.239632054
2020-10-23,-4.247823138,-4.310072551,-4.270109946,-4.180434334,-4.225031263
2020-10-24,-4.245373333,-4.307232076,-4.26721832,-4.178809358,-4.222823239
2020-10-25,-4.252398654,-4.315291814,-4.27437053,-4.186417297,-4.230191545
2020-10-26,-4.267065061,-4.332593299,-4.289550192,-4.200343844,-4.244373365
2020-10-27,-4.286849916,-4.356238624,-4.310430495,-4.21832832,-4.263352729
2020-10-28,-4.309941506,-4.384631593,-4.335272466,-4.237864059,-4.284895479
2020-10-29,-4.333998146,-4.417800579,-4.362403279,-4.255214043,-4.30629066
2020-10-30,-4.357358028,-4.453884259,-4.389742896,-4.268683207,-4.325485065
2020-10-31,-4.377671792,-4.489071755,-4.414622534,-4.278299581,-4.341748644
2020-11-01,-4.393157416,-4.518975935,-4.434541634,-4.28397011,-4.353944068
2020-11-02,-4.403335918,-4.542184867,-4.448580556,-4.283894477,-4.360886123
2020-11-03,-4.409372537,-4.560993339,-4.459002594,-4.275364608,-4.363161872
2020-11-04,-4.412568866,-4.577166371,-4.46701129,-4.258665791,-4.361974178
2020-11-05,-4.414578457,-4.590877614,-4.473374731,-4.238659222,-4.359150029
2020-11-06,-4.416257145,-4.600912428,-4.47791687,-4.220643195,-4.356403138
2020-11-07,-4.418576567,-4.607965218,-4.481450807,-4.207293669,-4.354707408
2020-11-08,-4.422675767,-4.612007789,-4.485396005,-4.200084384,-4.355714037
2020-11-09,-4.42923807,-4.614346436,-4.490739565,-4.199121745,-4.360384293
2020-11-10,-4.439118619,-4.61585258,-4.498463238,-4.208157166,-4.370468449
2020-11-11,-4.452794673,-4.617302009,-4.50926976,-4.231645407,-4.386660799
2020-11-12,-4.470816892,-4.619869187,-4.523501328,-4.269870305,-4.409514145
2020-11-13,-4.492753114,-4.625131611,-4.540687502,-4.317865943,-4.438271176
2020-11-14,-4.517940541,-4.635877944,-4.560759604,-4.371516443,-4.471250925
2020-11-15,-4.546436881,-4.65056489,-4.583562133,-4.426285894,-4.507288625
2020-11-16,-4.57724397,-4.667576261,-4.608964429,-4.480700098,-4.544986617
2020-11-17,-4.609451843,-4.686867654,-4.636124163,-4.532034796,-4.582616213
2020-11-18,-4.641190042,-4.709241574,-4.664763282,-4.573849458,-4.617886343
2020-11-19,-4.670648298,-4.737540086,-4.693574089,-4.60360759,-4.647680796
2020-11-20,-4.694776472,-4.767962012,-4.719421707,-4.625356504,-4.670821733
2020-11-21,-4.712715745,-4.791900065,-4.738876905,-4.642044761,-4.687803221
2020-11-22,-4.724002384,-4.805471572,-4.750712458,-4.653102708,-4.69872302
